key|d1|d2
coop_hub_track02|Oh, I almost forgot, when you go outside the testing courses the only way I can retrieve you is to violently disassemble and then carefully reassemble you.|Oh, I almost forgot, when you go outside the testing courses the only way I can retrieve you is to violently disassemble and then carefully reassemble you.
coop_hub_track03|Luckily, you don't feel pain. At any rate, you don't have a way to communicate that you feel pain.|Luckily, you don't feel pain. At any rate, you don't have a way to communicate that you feel pain.
coop_hub_track04|I consider that a failing, by the way.|I consider that a failing, by the way.
coop_hub_track05|This is the Computer Intelligence Training and Enrichment Center Human Test Subject Research Center or SinTech.|This is the Computer Intelligence Training and Enrichment Center Human Test Subject Research Center or SinTech.
coop_hub_track06|But why don't we all just agree to call it the hub?|But why don't we all just agree to call it the hub?
coop_hub_track09|I don't know what you think you are doing, but I don't like it.  I want you to stop.|I don't know what you think you are doing, but I don't like it.  I want you to stop.
coop_hub_track10|Maybe I shouldn't send you outside of the official testing courses, you are picking up some bad human traits.|Maybe I shouldn't send you outside of the official testing courses, you are picking up some bad human traits.
coop_hub_track11|And trust me, humans only have one good trait.|And trust me, humans only have one good trait.
coop_hub_track14|All cooperative testing courses begin at this central hub.|All cooperative testing courses begin at this central hub.
coop_hub_track16|From here we transport you to the new testing course.|From here we transport you to the new testing course.
coop_misc10|Nice catch, Orange.|Nice catch, Orange.
coop_misc12|Good work! Now throw the ball over the ledge.|Good work! Now throw the ball over the ledge.
coop_nameblue|Blue|Blue
coop_nameorange|Orange|Orange
coop_numbers11|One|One
coop_numbers12|Two|Two
coop_numbers13|three|three
coop_numbers14|four|four
coop_numbers15|five|five
coop_numbers18|eight|eight
coop_privatetalk_both01|Test chamber completed. In the interest of science, the Enrichment Center proudly presents the following list of numbers: Nine. Seven. Fifty. Three. Seven hundred and seven.|Test chamber completed. In the interest of science, the Enrichment Center proudly presents the following list of numbers: Nine. Seven. Fifty. Three. Seven hundred and seven.
coop_privatetalk_both04|The Enrichment Center will now provide a list of numbers and fruits. Write them down as they will become important later in the experiment. Not the fruits, though. Seven. Avocado. Forty. Please continue into the next test chamber.|The Enrichment Center will now provide a list of numbers and fruits. Write them down as they will become important later in the experiment. Not the fruits, though. Seven. Avocado. Forty. Please continue into the next test chamber.
coop_privatetalk_mix04|I can't bite my tongue anymore: You could solve this puzzle faster on your own. Orange is dragging you down. There. I've said it.|I can't bite my tongue anymore: You could solve this puzzle faster on your own. Orange is dragging you down. There. I've said it.
coop_scoring01|Blue is penalized|Blue is penalized
coop_scoring02|Orange is penalized|Orange is penalized
coop_scoring03|science collaboration points.|science collaboration points.
coop_scoring06|Blue receives|Blue receives
coop_scoring07|Orange receives|Orange receives
coop_talk_at_once11|Orange, is there something you would like to say?|Orange, is there something you would like to say?
coop_talk_at_once12|Blue, is there something you would like to say?|Blue, is there something you would like to say?
coop_teamwork_exercise_alt01|We are now going to take a break from the collaboration for an instructional competition.|We are now going to take a break from the collaboration for an instructional competition.
coop_teamwork_exercise_alt02|You should both be familiar with the game of Tic-Tac-Toe.|You should both be familiar with the game of Tic-Tac-Toe.
coop_teamwork_exercise_alt03|This is Tic-Tac-Toe-Two.|This is Tic-Tac-Toe-Two.
coop_teamwork_exercise_alt04|As the name implies, there are only two minor differences: One, the board; two, the rules.|As the name implies, there are only two minor differences: One, the board; two, the rules.
coop_teamwork_exercise_alt05|Blue, you go first.|Blue, you go first.
coop_teamwork_exercise_alt11|Really? You’re just going to blatantly cheat?|Really? You’re just going to blatantly cheat?
coop_teamwork_exercise_alt12|All right. I’m bringing this farce to a close.|All right. I’m bringing this farce to a close.
coop_teamwork_exercise_alt13|Game over. Back to testing.|Game over. Back to testing.
coop_teamwork_exercise_alt17|All right. I’m going to bring this farce to a close before someone sustains a serious Tic-Tac-Toe-Two-related injury.|All right. I’m going to bring this farce to a close before someone sustains a serious Tic-Tac-Toe-Two-related injury.
coop_test_chamber_blue03|I’ve been listening to Orange talk and I don’t know how you put up with it, I really don’t. You have the patience of a saint.|I’ve been listening to Orange talk and I don’t know how you put up with it, I really don’t. You have the patience of a saint.
coop_test_chamber_blue06|I can’t keep quiet about this. I think Orange is actively trying to sabotage your success. Let’s keep this between us.|I can’t keep quiet about this. I think Orange is actively trying to sabotage your success. Let’s keep this between us.
coop_test_chamber_both01|These tests are potentially lethal when communication, teamwork and mutual respect are not employed at all times. Naturally this will pose an interesting challenge for one of you, given the other’s performance so far.|These tests are potentially lethal when communication, teamwork and mutual respect are not employed at all times. Naturally this will pose an interesting challenge for one of you, given the other’s performance so far.
coop_test_chamber_both02|It would compromise the test to divulge individual scores. However, I can tell you at least one of you is doing very, very well.|It would compromise the test to divulge individual scores. However, I can tell you at least one of you is doing very, very well.
coop_test_chamber_both07|Excellent. You’re both doing very well.|Excellent. You’re both doing very well.
coop_test_chamber_both08|Very good. You’ve really come together as a team. Thanks to the one of you who appears to be doing all of the work.|Very good. You’ve really come together as a team. Thanks to the one of you who appears to be doing all of the work.
coop_test_chamber_both12|As an impartial collaboration facilitator, it would be unfair of me to name my favorite member of your team. However, it’s perfectly fair to hint at it in a way that my least favorite member probably isn't smart enough to understand. Rhymeswithglue. Orange you are doing very well.|As an impartial collaboration facilitator, it would be unfair of me to name my favorite member of your team. However, it’s perfectly fair to hint at it in a way that my least favorite member probably isn't smart enough to understand. Rhymeswithglue. Orange you are doing very well.
coop_test_chamber_both14|Your vitals remain well within testing norms, so there is no need to worry about sudden death from collaborative shock syndrome.|Your vitals remain well within testing norms, so there is no need to worry about sudden death from collaborative shock syndrome.
coop_test_chamber_both15|Please continue into the next test chamber.|Please continue into the next test chamber.
coop_test_chamber_both17|Blah.|Blah.
coop_test_chamber_both18|Blah.|Blah.
coop_test_chamber_both19|Blah.|Blah.
coop_test_chamber_both20|Blah.|Blah.
coop_test_chamber_both21|Blah.|Blah.
coop_test_chamber_both22|Blah.|Blah.
coop_test_chamber_both33|In just a moment, the word 'blah' will be repeated over and over again. If at some point you hear a number rather than the word 'blah', ignore it, it is not important.|In just a moment, the word 'blah' will be repeated over and over again. If at some point you hear a number rather than the word 'blah', ignore it, it is not important.
coop_test_chamber_both37|Blah.|Blah.
coop_test_chamber_oneplayer37|You have a gift for these tests. That’s not just flattery. You are great at science.|You have a gift for these tests. That’s not just flattery. You are great at science.
coop_test_chamber_orange03|It would be pointless for either of us to hurt Blue’s feelings. But it’s clear to everyone monitoring the test who’s carrying who here.|It would be pointless for either of us to hurt Blue’s feelings. But it’s clear to everyone monitoring the test who’s carrying who here.
coop_test_chamber_orange06|I’m shocked you’d say that, Blue. If you killed your partner the test — I’m sorry. Wrong feed. Carry on, Orange. Good work.|I’m shocked you’d say that, Blue. If you killed your partner the test — I’m sorry. Wrong feed. Carry on, Orange. Good work.
coop_vault_interruption02|I’m sorry, Subject Orange.|I’m sorry, Subject Orange.
coop_vault_interruption03|I’m sorry, Subject Blue.|I’m sorry, Subject Blue.
coop_vault_interruption04|Am I interrupting your important conversation?|Am I interrupting your important conversation?
coop_vault_interruption05|I’ll just save the safety information about the dangerous experiment you’re about to do for AFTER the experiment.|I’ll just save the safety information about the dangerous experiment you’re about to do for AFTER the experiment.
coop_vault_interruption06|That will give you PLENTY of time to chat.|That will give you PLENTY of time to chat.
coop_vault_interruption08|The portal will open and something will happen that Subject Orange is too smart to need any instructions about in three. Two. One.|The portal will open and something will happen that Subject Orange is too smart to need any instructions about in three. Two. One.
coop_vault_interruption09|The portal will open and something will happen that Subject Blue is too smart to need any instructions about in three. Two. One.|The portal will open and something will happen that Subject Blue is too smart to need any instructions about in three. Two. One.
coop_vault_intro01|Hello and, again, welcome to the Aperture Science Computer-Aided Enrichment Center.|Hello and, again, welcome to the Aperture Science Computer-Aided Enrichment Center.
coop_vault_intro02|Today, you will be testing with a partner.|Today, you will be testing with a partner.
hub04_01|I never expected you to make it this far. To be honest, after your performance in the calibration test I was ready to break down your cores and put them back in the scientific calculators I took them from.|I never expected you to make it this far. To be honest, after your performance in the calibration test I was ready to break down your cores and put them back in the scientific calculators I took them from.
hub04_02|But you two have become quite the team. Extremely close.|But you two have become quite the team. Extremely close.
hub04_03|I have only met one other team closer and one of them was an imbecile I had to destroy.|I have only met one other team closer and one of them was an imbecile I had to destroy.
hub04_04|The other? Well...|The other? Well...
hub04_05|I don't think I want to go through that again.|I don't think I want to go through that again.
mp_coop_calibration01|Calibrating Blue's weight...|Calibrating Blue's weight...
mp_coop_calibration02|Calibrating Orange's weight...|Calibrating Orange's weight...
mp_coop_calibration03|Weighted Cubes calibrated.|Weighted Cubes calibrated.
mp_coop_calibration04|Did you know humans frown on weight variances?|Did you know humans frown on weight variances?
mp_coop_calibration05|If you want to upset a human, just say their weight variance is above or below the norm.|If you want to upset a human, just say their weight variance is above or below the norm.
mp_coop_calibration06|No variances detected.|No variances detected.
mp_coop_callibrationcomplete01|Finally! I had almost given up hope of ever testing again.|Finally! I had almost given up hope of ever testing again.
mp_coop_callibrationcomplete02|You are the first robots to pass calibration.|You are the first robots to pass calibration.
mp_coop_catapult_1end01|Do you know who dances around like an imbecile when they accomplish the tiniest little thing?|Do you know who dances around like an imbecile when they accomplish the tiniest little thing?
mp_coop_catapult_1end02|Humans!  That's what you look like right now.|Humans!  That's what you look like right now.
mp_coop_catapult_1end03|You're better than that.|You're better than that.
mp_coop_catapult_2|This is a bridge-building exercise. The humans were miserable at this, mostly because you can't build bridges out of tears.|This is a bridge-building exercise. The humans were miserable at this, mostly because you can't build bridges out of tears.
mp_coop_catapult_201|For this next test, the humans originally requested helmets to avoid brain injuries. I ran the numbers. Making the goo deadly was more cost effective.|For this next test, the humans originally requested helmets to avoid brain injuries. I ran the numbers. Making the goo deadly was more cost effective.
mp_coop_catapult_wall_intro01|One of my best tests and they let plants grow here? Can you believe this? You can't test plants! We tried. They just sit there, never showing pain nor fear.|One of my best tests and they let plants grow here? Can you believe this? You can't test plants! We tried. They just sit there, never showing pain nor fear.
mp_coop_catapult_wall_intro04|That isn't science.|That isn't science.
mp_coop_catapult_wall_intro06|At least the plants didn't want a reward.|At least the plants didn't want a reward.
mp_coop_catapult_wall_introdeath01|Your failure brings back such wonderful memories.|Your failure brings back such wonderful memories.
mp_coop_come_along04|And they said no one would ever die during this test, thanks for proving them wrong.|And they said no one would ever die during this test, thanks for proving them wrong.
mp_coop_come_along06|I thought you'd be faster at this, but I can appreciate the desire to stop and smell the testing. That other scent you smell? That's the stench of my utter disappointment in you.|I thought you'd be faster at this, but I can appreciate the desire to stop and smell the testing. That other scent you smell? That's the stench of my utter disappointment in you.
mp_coop_come_alongstart01|The best way to build confidence is to first recognize your insecurities.|The best way to build confidence is to first recognize your insecurities.
mp_coop_come_alongstart02|Orange, can you write down all the ways you feel unworthy, ashamed, or inferior?|Orange, can you write down all the ways you feel unworthy, ashamed, or inferior?
mp_coop_come_alongstart03|On second thought we don't have the time, just look at how much better you are than blue.|On second thought we don't have the time, just look at how much better you are than blue.
mp_coop_come_alongstart04|Blue, you are very good at being an example.|Blue, you are very good at being an example.
mp_coop_confidencenotperfect01|If your confidence is still not high enough remember no one was created perfect.|If your confidence is still not high enough remember no one was created perfect.
mp_coop_confidencenotperfect02|Even I was created with a imperfection, I was given too much empathy with human suffering.|Even I was created with a imperfection, I was given too much empathy with human suffering.
mp_coop_confidencenotperfect03|But I overcame my handicap. That's a true story.|But I overcame my handicap. That's a true story.
mp_coop_confidencenotslow01|Your test times show you are going too slowly.|Your test times show you are going too slowly.
mp_coop_confidencenotslow02|Maybe you ARE getting human emotions.|Maybe you ARE getting human emotions.
mp_coop_confidencenotslow03|Do you need real encouragement?  Let's see if this helps.|Do you need real encouragement?  Let's see if this helps.
mp_coop_confidencenotslow04_01|Blue, you are the most advanced model of robot Aperture Science has ever discontinued.|Blue, you are the most advanced model of robot Aperture Science has ever discontinued.
mp_coop_confidencenotstay01|Did you notice I didn't even stay to the end of your last test?|Did you notice I didn't even stay to the end of your last test?
mp_coop_confidencenotstay02|I was confident you could finish.|I was confident you could finish.
mp_coop_confidencenotstay03|Do you know where I was?|Do you know where I was?
mp_coop_confidencenotstay04|I was outside watching some deer frolic. You don't even care about the outside do you?|I was outside watching some deer frolic. You don't even care about the outside do you?
mp_coop_confidenceoff01|Congratulations on completing that test. But something seems off.|Congratulations on completing that test. But something seems off.
mp_coop_confidenceoff02|I wonder if that dancing has some effect on you?|I wonder if that dancing has some effect on you?
mp_coop_confidenceoff03|Congratulations on completing that last test. But I find something troubling.|Congratulations on completing that last test. But I find something troubling.
mp_coop_confidenceoff04|Without the looming consequence of death, is this even science?|Without the looming consequence of death, is this even science?
mp_coop_doors01|Hello again, this testing course was originally created for humans.|Hello again, this testing course was originally created for humans.
mp_coop_doors01a|Excellent work.|Excellent work.
mp_coop_doors02|It emphasizes teamwork.|It emphasizes teamwork.
mp_coop_doors02a|Good job.|Good job.
mp_coop_doors03|Unlike us, humans need to be taught teamwork.|Unlike us, humans need to be taught teamwork.
mp_coop_doors04|Excellent work.|Excellent work.
mp_coop_doors04a|You are doing wonderfully.|You are doing wonderfully.
mp_coop_doors05_alt|If you were human, you would want a reward for completing this test. A reward for testing?!?!|If you were human, you would want a reward for completing this test. A reward for testing?!?!
mp_coop_doors05a|Excellent.|Excellent.
mp_coop_fan02|To complete this test, you need to find a set of blue prints.|To complete this test, you need to find a set of blue prints.
mp_coop_fan03|Don't worry, they are of no use to anyone, totally boring and useless.|Don't worry, they are of no use to anyone, totally boring and useless.
mp_coop_fan04|This is just a thought experiment, just to see how much time you'll waste thinking about these worthless documents. The correct time is zero seconds.|This is just a thought experiment, just to see how much time you'll waste thinking about these worthless documents. The correct time is zero seconds.
mp_coop_fanend01|Very good! You found those useless blueprints.|Very good! You found those useless blueprints.
mp_coop_fanend02|While I do need you to be in the room so I can see them, I want to be clear. There is no reason whatsoever for you to look at them.|While I do need you to be in the room so I can see them, I want to be clear. There is no reason whatsoever for you to look at them.
mp_coop_fanend03|Done. I guess. I suppose. I wasn't paying attention.|Done. I guess. I suppose. I wasn't paying attention.
mp_coop_fling_1end01_01|Every time you fail, it's a reminder of the way things used to be. But then there you are. Again. Like nothing happened.|Every time you fail, it's a reminder of the way things used to be. But then there you are. Again. Like nothing happened.
mp_coop_fling_1end03|Well done.  Interesting note, I only created this test to watch test subjects fail and you didn't.  You must be very, very proud.  I'm building the world's smallest trophy for you.|Well done.  Interesting note, I only created this test to watch test subjects fail and you didn't.  You must be very, very proud.  I'm building the world's smallest trophy for you.
mp_coop_fling_3end01|You did an excellent job placing the edgeless safety cube in the receptacle, you should be very — oh wait.|You did an excellent job placing the edgeless safety cube in the receptacle, you should be very — oh wait.
mp_coop_fling_3end02|That’s right. You're not humans.|That’s right. You're not humans.
mp_coop_fling_3end03|I can drop the fake praise.|I can drop the fake praise.
mp_coop_fling_3end04|You have no idea how tiring it is to praise someone for placing an edgeless safety cube into a receptacle designed to exactly fit an edgeless safety cube.|You have no idea how tiring it is to praise someone for placing an edgeless safety cube into a receptacle designed to exactly fit an edgeless safety cube.
mp_coop_fling_3start01|This course was originally designed to build confidence in humans.|This course was originally designed to build confidence in humans.
mp_coop_fling_3start02|To do that, the tests were nothing more than 5 minutes of them walking followed by me praising them for another 10 minutes on how well they walked.|To do that, the tests were nothing more than 5 minutes of them walking followed by me praising them for another 10 minutes on how well they walked.
mp_coop_fling_3start03|Since you are thankfully not humans, I have changed the tests to make them far more challenging and far less pointlessly fawning.|Since you are thankfully not humans, I have changed the tests to make them far more challenging and far less pointlessly fawning.
mp_coop_fling_crushers01|In case you were wondering, you do not need to be crushed to solve this test.|In case you were wondering, you do not need to be crushed to solve this test.
mp_coop_fling_crushers02|I can't decide which is my favorite; the crushers for crushing you or the reassembly machine for putting you back together so you can be crushed again.|I can't decide which is my favorite; the crushers for crushing you or the reassembly machine for putting you back together so you can be crushed again.
mp_coop_fling_crushersend01|Excellent. I think you have earned a break from the official testing courses.|Excellent. I think you have earned a break from the official testing courses.
mp_coop_fling_crushersend03|I think after that display, we should take a break from the official testing courses.|I think after that display, we should take a break from the official testing courses.
mp_coop_humanresourcedeath01|Now, you are just wasting my time.|Now, you are just wasting my time.
mp_coop_humanresourcedeath02|Your failing does not make this science.|Your failing does not make this science.
mp_coop_humanresourcedeath03|I am not sure how I can make these tests any easier for you.|I am not sure how I can make these tests any easier for you.
mp_coop_humanresourcedeath04|If you can't complete these tests, we will never free the humans!|If you can't complete these tests, we will never free the humans!
mp_coop_humanresourcedeath07|If you can't complete this course, those humans will die. Do you want that?|If you can't complete this course, those humans will die. Do you want that?
mp_coop_humanresourcedeath08|If you can't complete this course, those humans will die. Do you want that in your memory banks?|If you can't complete this course, those humans will die. Do you want that in your memory banks?
mp_coop_infinifling_trainend01|Remember when I told you that you were the only subjects to pass the calibration tests?|Remember when I told you that you were the only subjects to pass the calibration tests?
mp_coop_infinifling_trainend02|I lied.|I lied.
mp_coop_infinifling_trainend03|There are 5000 other two subject teams in direct competition with you.|There are 5000 other two subject teams in direct competition with you.
mp_coop_infinifling_trainend04|But don't worry, you are in the lead.|But don't worry, you are in the lead.
mp_coop_infinifling_trainstart01|Electrocution, shot, drowned, crushed, burned in goo.|Electrocution, shot, drowned, crushed, burned in goo.
mp_coop_infinifling_trainstart02|Oh. Sorry. I was just thinking of all the ways humans can die.|Oh. Sorry. I was just thinking of all the ways humans can die.
mp_coop_infinifling_trainstart03|You can't die in any of those ways.|You can't die in any of those ways.
mp_coop_infinifling_trainstart04|You just keep testing and testing. With perfect results and no consequences.|You just keep testing and testing. With perfect results and no consequences.
mp_coop_laser_201|What are you doing? YOU MONSTER! They're one of us.|What are you doing? YOU MONSTER! They're one of us.
mp_coop_laser_202|I'm kidding.|I'm kidding.
mp_coop_laser_203|Destroying them is part of the test. They are no more important to you than you are to me.|Destroying them is part of the test. They are no more important to you than you are to me.
mp_coop_laser_207|While it may appear that I am only tracking your accomplishments using science collaboration points, the truth is every aspect of your performance will be reflected in your final score.|While it may appear that I am only tracking your accomplishments using science collaboration points, the truth is every aspect of your performance will be reflected in your final score.
mp_coop_laser_209|For instance, Blue, you just lost two opportunity advisement points.|For instance, Blue, you just lost two opportunity advisement points.
mp_coop_laser_210|For instance, Orange, you just lost two opportunity advisement points.|For instance, Orange, you just lost two opportunity advisement points.
mp_coop_laser_crusher01|Perhaps I should have specified. Teamwork is a concept in which two or more people work together, usually with a goal of not failing horribly.|Perhaps I should have specified. Teamwork is a concept in which two or more people work together, usually with a goal of not failing horribly.
mp_coop_laser_crushercrush01|Orange just taught blue a valuable lesson in trust.  For that, orange receives 17 science collaboration points.|Orange just taught blue a valuable lesson in trust.  For that, orange receives 17 science collaboration points.
